Canada,https://en.wikipedia.org/wiki/Canada,Full democracy
United States,https://en.wikipedia.org/wiki/United_States,Flawed democracy
Austria,https://en.wikipedia.org/wiki/Austria,Full democracy
Belgium,https://en.wikipedia.org/wiki/Belgium,Flawed democracy
Cyprus,https://en.wikipedia.org/wiki/Cyprus,Flawed democracy
Denmark,https://en.wikipedia.org/wiki/Denmark,Full democracy
Finland,https://en.wikipedia.org/wiki/Finland,Full democracy
France,https://en.wikipedia.org/wiki/France,Full democracy
Germany,https://en.wikipedia.org/wiki/Germany,Full democracy
Greece,https://en.wikipedia.org/wiki/Greece,Flawed democracy
Iceland,https://en.wikipedia.org/wiki/Iceland,Full democracy
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland,Full democracy
Italy,https://en.wikipedia.org/wiki/Italy,Flawed democracy
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Full democracy
Malta,https://en.wikipedia.org/wiki/Malta,Flawed democracy
Netherlands,https://en.wikipedia.org/wiki/Netherlands,Full democracy
Norway,https://en.wikipedia.org/wiki/Norway,Full democracy
Portugal,https://en.wikipedia.org/wiki/Portugal,Flawed democracy
Spain,https://en.wikipedia.org/wiki/Spain,Full democracy
Sweden,https://en.wikipedia.org/wiki/Sweden,Full democracy
Switzerland,https://en.wikipedia.org/wiki/Switzerland,Full democracy
Turkey,https://en.wikipedia.org/wiki/Turkey,Hybrid regime
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,Full democracy
Albania,https://en.wikipedia.org/wiki/Albania,Flawed democracy
Armenia,https://en.wikipedia.org/wiki/Armenia,Hybrid regime
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,Authoritarian
Belarus,https://en.wikipedia.org/wiki/Belarus,Authoritarian
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,Hybrid regime
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,Flawed democracy
Croatia,https://en.wikipedia.org/wiki/Croatia,Flawed democracy
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,Flawed democracy
Estonia,https://en.wikipedia.org/wiki/Estonia,Flawed democracy
Georgia,https://en.wikipedia.org/wiki/Georgia_(country),Hybrid regime
Hungary,https://en.wikipedia.org/wiki/Hungary,Flawed democracy
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,Authoritarian
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan,Authoritarian
Latvia,https://en.wikipedia.org/wiki/Latvia,Flawed democracy
Lithuania,https://en.wikipedia.org/wiki/Lithuania,Flawed democracy
Moldova,https://en.wikipedia.org/wiki/Moldova,Flawed democracy
Montenegro,https://en.wikipedia.org/wiki/Montenegro,Flawed democracy
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia,Flawed democracy
Poland,https://en.wikipedia.org/wiki/Poland,Flawed democracy
Romania,https://en.wikipedia.org/wiki/Romania,Flawed democracy
Russia,https://en.wikipedia.org/wiki/Russia,Authoritarian
Serbia,https://en.wikipedia.org/wiki/Serbia,Flawed democracy
Slovakia,https://en.wikipedia.org/wiki/Slovakia,Flawed democracy
Slovenia,https://en.wikipedia.org/wiki/Slovenia,Flawed democracy
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,Authoritarian
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,Authoritarian
